Dragonborn.esm;ALCH;01AADD;DLC2RestoreAll01;Potion of Minor Well-being;0.500000;31;Restore 15 points of Health.Restore 15 points of Magicka.Restore 15 Stamina.;;
Dragonborn.esm;ALCH;01AADE;DLC2RestoreAll02;Potion of Well-being;0.500000;82;Restore 35 points of Health.Restore 35 points of Magicka.Restore 35 Stamina.;;
Dragonborn.esm;ALCH;01AADF;DLC2RestoreAll03;Potion of Plentiful Well-being;0.500000;139;Restore 55 points of Health.Restore 55 points of Magicka.Restore 55 Stamina.;;
Dragonborn.esm;ALCH;01AAE0;DLC2RestoreAll04;Potion of Vigorous Well-being;0.500000;195;Restore 75 points of Health.Restore 75 points of Magicka.Restore 75 Stamina.;;
Dragonborn.esm;ALCH;01AAE1;DLC2RestoreAll05;Potion of Extreme Well-being;0.500000;238;Restore 90 points of Health.Restore 90 points of Magicka.Restore 90 Stamina.;;
Dragonborn.esm;ALCH;01AAE2;DLC2RestoreAll06;Potion of Ultimate Well-being;0.500000;269;Restore 100 points of Health.Restore 100 points of Magicka.Restore 100 Stamina.;;
Dragonborn.esm;ALCH;01CD7D;DLC2NetchPoison;Netch Poison;0.500000;21;A blood-freezing poison that does 5 points damage to Health and Stamina for 4 seconds.;;
Dragonborn.esm;ALCH;0206E7;DLC2FoodAshYam;Ash Yam;0.100000;1;Restore 1 points of Health.;;
Dragonborn.esm;ALCH;0207E5;DLC2Flin;Flin;0.500000;15;Restore 20 points of Stamina.Decrease the target's Stamina regeneration by 20% for 120 seconds.;;
Dragonborn.esm;ALCH;0207E6;DLC2Sujamma;Sujamma;0.500000;10;Restore 15 points of Stamina.Decrease the target's Stamina regeneration by 30% for 60 seconds.;;
Dragonborn.esm;ALCH;0248CC;DLC2Shein;Shein;0.500000;10;Restore 25 points of Stamina.Decrease the target's Stamina regeneration by 30% for 60 seconds.;;
Dragonborn.esm;ALCH;0248CE;DLC2Matze;Matze;0.500000;5;Restore 10 points of Stamina.Resist 20% of frost damage for 60 seconds.Decrease the target's Magicka regeneration by 25% for 60 seconds.;;
Dragonborn.esm;ALCH;024E0B;DLC2RRF04Sujamma;Sadri's Sujamma;0.250000;0;Restore 18 points of Stamina.Decrease the target's Stamina regeneration by 30% for 60 seconds.;;
Dragonborn.esm;ALCH;0320DF;DLC2RRFavor01EmberbrandWine;Emberbrand Wine;0.500000;15;Restore 60 points of Stamina.Decrease the target's Stamina regeneration by 60% for 120 seconds.;;
Dragonborn.esm;ALCH;03572F;DLC2FoodAshfireMead;Ashfire Mead;0.500000;50;Restore 40 points of Stamina.Stamina regenerates 50% slower for 30 seconds.;;
