Skyrim.esm;ALCH;02C35A;FoodBlackBriarMead;Black-Briar Mead;0.200000;25;Restore 20 points of Stamina.Stamina regenerates 40% slower for 30 seconds.;;
Skyrim.esm;ALCH;01895F;FirebrandWine;Firebrand Wine;0.500000;137;Restore 20 points of Stamina.Stamina regenerates 30% slower for 45 seconds.Resist 15% of frost damage for 45 seconds.;;
Skyrim.esm;ALCH;034C5D;FoodMead;Nord Mead;0.500000;5;Restore 15 points of Stamina.Stamina regenerates 30% slower for 30 seconds.;;
Skyrim.esm;ALCH;034C5E;Ale;Ale;0.500000;5;Restore 15 points of Stamina.Stamina regenerates 30% slower for 30 seconds.;;
Skyrim.esm;ALCH;036D53;MQ201Drink;Colovian Brandy;0.500000;100;Restore 25 points of Stamina.You haggle for 20% better prices for 30 seconds.Stamina regenerates 30% slower for 30 seconds.;;
Skyrim.esm;ALCH;03133B;FoodWineAlto;Alto Wine;0.500000;12;Restore 15 points of Stamina.Stamina regenerates 30% slower for 30 seconds.;;
Skyrim.esm;ALCH;03133C;FoodWineBottle02;Wine;0.500000;7;Restore 15 points of Stamina.Stamina regenerates 30% slower for 30 seconds.;;
Skyrim.esm;ALCH;03EADD;RestoreHealth01;Potion of Minor Healing;0.500000;17;Restore 25 points of Health.;;
Skyrim.esm;ALCH;03EADE;RestoreHealth02;Potion of Healing;0.500000;73;Restore 50 points of Health.;;
Skyrim.esm;ALCH;03EADF;RestoreHealth03;Potion of Plentiful Healing;0.500000;57;Restore 75 points of Health.;;
Skyrim.esm;ALCH;03EAE0;RestoreMagicka01;Potion of Minor Magicka;0.500000;20;Restore 25 points of Magicka.;;
Skyrim.esm;ALCH;03EAE1;RestoreMagicka02;Potion of Magicka;0.500000;73;Restore 50 points of Magicka.;;
Skyrim.esm;ALCH;03EAE2;RestoreMagicka03;Potion of Plentiful Magicka;0.500000;115;Restore 75 points of Magicka.;;
Skyrim.esm;ALCH;03EAE3;RestoreHealth04;Potion of Vigorous Healing;0.500000;79;Restore 100 points of Health.;;
Skyrim.esm;ALCH;03EAE4;RestoreMagicka04;Potion of Vigorous Magicka;0.500000;158;Restore 100 points of Magicka.;;
Skyrim.esm;ALCH;03EAE5;RestoreStamina01;Potion of Minor Stamina;0.500000;20;Restore 25 Stamina.;;
Skyrim.esm;ALCH;03EAE6;RestoreStamina05;Potion of Extreme Stamina;0.500000;61;Restore 150 Stamina.;;
Skyrim.esm;ALCH;03EAE7;RestoreStamina03;Potion of Plentiful Stamina;0.500000;28;Restore 75 Stamina.;;
Skyrim.esm;ALCH;03EAE8;RestoreStamina04;Potion of Vigorous Stamina;0.500000;39;Restore 100 Stamina.;;
Skyrim.esm;ALCH;03EAE9;ResistFire50;Draught of Resist Fire;0.500000;151;Resist 30% of fire damage for 60 seconds.;;
Skyrim.esm;ALCH;03EAED;ResistFrost50;Draught of Resist Cold;0.500000;151;Resist 30% of frost damage for 60 seconds.;;
Skyrim.esm;ALCH;03EAEE;ResistShock50;Draught of Resist Shock;0.500000;151;Resist 30% of shock damage for 60 seconds.;;
Skyrim.esm;ALCH;03EAEF;ResistFire100;Elixir of Resist Fire;0.500000;265;Resist 50% of fire damage for 60 seconds.;;
Skyrim.esm;ALCH;03EAF0;ResistFrost100;Elixir of Resist Cold;0.500000;265;Resist 50% of frost damage for 60 seconds.;;
Skyrim.esm;ALCH;03EAF1;ResistShock100;Elixir of Resist Shock;0.500000;265;Resist 50% of shock damage for 60 seconds.;;
Skyrim.esm;ALCH;03EAF2;FortifyHealth01;Potion of Health;0.500000;77;Health is increased by 20 points for 60 seconds.;;
Skyrim.esm;ALCH;03EAF4;FortifyHealth02;Draught of Health;0.500000;166;Health is increased by 40 points for 60 seconds.;;
Skyrim.esm;ALCH;03EAF5;FortifyHealth04;Philter of Health;0.500000;355;Health is increased by 80 points for 60 seconds.;;
Skyrim.esm;ALCH;03EAF6;FortifyHealth03;Solution of Health;0.500000;259;Health is increased by 60 points for 60 seconds.;;
Skyrim.esm;ALCH;03EAF7;FortifyMagicka01;Potion of Extra Magicka;0.500000;58;Magicka is increased by 20 points for 60 seconds.;;
Skyrim.esm;ALCH;03EAFA;FortifyMagicka02;Draught of Extra Magicka;0.500000;124;Magicka is increased by 40 points for 60 seconds.;;
Skyrim.esm;ALCH;03EAFB;FortifyMagicka03;Solution of Extra Magicka;0.500000;194;Magicka is increased by 60 points for 60 seconds.;;
Skyrim.esm;ALCH;03EAFC;FortifyMagicka04;Philter of Extra Magicka;0.500000;266;Magicka is increased by 80 points for 60 seconds.;;
Skyrim.esm;ALCH;03EAFD;FortifyStamina01;Potion of Enhanced Stamina;0.500000;170;Stamina is increased by 20 points for 300 seconds.;;
Skyrim.esm;ALCH;03EAFE;FortifyStamina03;Solution of Enhanced Stamina;0.500000;571;Stamina is increased by 60 points for 300 seconds.;;
Skyrim.esm;ALCH;03EAFF;FortifyStamina04;Philter of Enhanced Stamina;0.500000;784;Stamina is increased by 80 points for 300 seconds.;;
