Dawnguard.esm;ALCH;01391D;DLC1RedwaterDenSkooma;Redwater Skooma;0.500000;34;Restore 40 Stamina.;;
Dawnguard.esm;ALCH;014DC4;DLC1FoodSoulHusk;Soul Husk;0.100000;1;Interrupts the soul drain effect in the Soul Cairn. Resist 10% of magic for 10 seconds.;;
Dawnguard.esm;ALCH;015A1E;DLC1FoodSoulHuskExtract;Soul Husk Extract;0.500000;254;Resist 25% of magic for 60 seconds.Interrupts the soul drain effect in the Soul Cairn.;;
Dawnguard.esm;ALCH;018EF3;DLC1BloodPotion;Potion of Blood;0.500000;75;Equivalent to feeding on human blood for vampires.Vampires heal 100 points of Health.;;
Dawnguard.esm;NPC_;0023E3;EncSkeletonArmor01Melee1H00;Skeleton;Draugr;1;Destruction, Illusion, One Handed;Respawn, Auto-calc stats;
Dawnguard.esm;NPC_;00282A;DLC1EncVampire07Template;Nightlord Vampire;Nord;60;One Handed, Light Armor, Sneak;Female, Respawn, Auto-calc stats, looped script?, looped audio?;
Dawnguard.esm;NPC_;00282B;DLC1EncVampire07TemplateBoss;Nightmaster Vampire;Nord;65;One Handed, Light Armor, Sneak;Female, Respawn, Auto-calc stats, looped script?, looped audio?;
Dawnguard.esm;NPC_;00282C;DLC1EncVampire07BretonF;;Breton;60;One Handed, Light Armor, Sneak;Female, Respawn, Auto-calc stats, looped script?, looped audio?;
Dawnguard.esm;NPC_;00282D;DLC1EncVampire07DarkElfF;;Dark Elf;60;One Handed, Light Armor, Sneak;Female, Respawn, Auto-calc stats, looped script?, looped audio?;
Dawnguard.esm;NPC_;00282E;DLC1EncVampire07HighElfF;;High Elf;60;One Handed, Light Armor, Sneak;Female, Respawn, Auto-calc stats, looped script?, looped audio?;
Dawnguard.esm;NPC_;00282F;DLC1EncVampire07ImperialF;;Imperial;60;One Handed, Light Armor, Sneak;Female, Respawn, Auto-calc stats, looped script?, looped audio?;
Dawnguard.esm;NPC_;002830;DLC1EncVampire07NordF;;Nord;60;One Handed, Light Armor, Sneak;Female, Respawn, Auto-calc stats, looped script?, looped audio?;
Dawnguard.esm;NPC_;002831;DLC1EncVampire07BossBretonM;;Breton;65;One Handed, Light Armor, Sneak;Respawn, Auto-calc stats, looped script?, looped audio?;
Dawnguard.esm;NPC_;002832;DLC1EncVampire07BossDarkElfM;;Dark Elf;65;One Handed, Light Armor, Sneak;Respawn, Auto-calc stats, looped script?, looped audio?;
Dawnguard.esm;NPC_;002833;DLC1EncVampire07BossHighElfM;;High Elf;65;One Handed, Light Armor, Sneak;Respawn, Auto-calc stats, looped script?, looped audio?;
Dawnguard.esm;NPC_;002834;DLC1EncVampire07BossImperialM;;Imperial;65;One Handed, Light Armor, Sneak;Respawn, Auto-calc stats, looped script?, looped audio?;
Dawnguard.esm;NPC_;002835;DLC1EncVampire07BossNordM;;Nord;65;One Handed, Light Armor, Sneak;Respawn, Auto-calc stats, looped script?, looped audio?;
Dawnguard.esm;NPC_;002B15;TestFalmerARMOR;;Falmer;9;Sneak, Destruction, One Handed;Respawn, Auto-calc stats;
Dawnguard.esm;NPC_;002B6B;DLC1ResponsiveNPC_Base;;Nord;1;One Handed, Two Handed, Archery;;
Dawnguard.esm;NPC_;002B6C;DLC1Serana;Serana;Nord;1.000000,12,50;Sneak, One Handed, Light Armor;Female, Auto-calc stats, Unique, PC Level Mult;
Dawnguard.esm;NPC_;002C02;DLC1EncDeerGlowing;Vale Deer;Deer;1;One Handed, Two Handed, Archery;Female, Respawn, Doesn't affect stealth meter;
Dawnguard.esm;NPC_;002C08;TESTFemaleFalmerStaff;;Falmer;25;Destruction, Restoration, Sneak;Female, Respawn, Auto-calc stats;
Dawnguard.esm;NPC_;0030D8;DLC1Durnehviir;Durnehviir;Dragon Race;1.000000,10,70;Two Handed, One Handed, Block;Essential, Auto-calc stats, PC Level Mult, Summonable;
Dawnguard.esm;NPC_;003360;DLC1Vingalmo;Vingalmo;High Elf;1.000000,0,0;Illusion, Alteration, Conjuration;Essential, Auto-calc stats, Unique, PC Level Mult, Bleedout Override;
Dawnguard.esm;NPC_;003361;DLC1Orthjolf;Orthjolf;Nord;1.000000,0,0;Two Handed, One Handed, Block;Essential, Auto-calc stats, Unique, PC Level Mult, Unknown 17, Bleedout Override, looped script?;
Dawnguard.esm;NPC_;003362;DLC1RargalThrallmaster;Rargal Thrallmaster;Nord;1.000000,0,0;Two Handed, One Handed, Block;Auto-calc stats, Unique, PC Level Mult, Unknown 17, Bleedout Override, looped script?;
Dawnguard.esm;NPC_;003363;DLC1FuraBloodmouth;Fura Bloodmouth;Nord;1.000000,0,0;Two Handed, One Handed, Block;Female, Essential, Auto-calc stats, Unique, PC Level Mult, Unknown 17, Bleedout Override, looped script?;
Dawnguard.esm;NPC_;003364;DLC1GaranMarethi;Garan Marethi;Dark Elf;1.000000,0,0;Destruction, Light Armor, Sneak;Essential, Auto-calc stats, Unique, PC Level Mult, Bleedout Override;
Dawnguard.esm;NPC_;003365;DLC1Hestla;Hestla;Nord;1.000000,0,0;Two Handed, One Handed, Block;Female, Auto-calc stats, Unique, PC Level Mult, Bleedout Override, looped script?, looped audio?;
Dawnguard.esm;NPC_;003366;DLC1FeranSadri;Feran Sadri;Dark Elf;1.000000,0,0;Destruction, Light Armor, Sneak;Essential, Auto-calc stats, Unique, PC Level Mult, Bleedout Override;
Dawnguard.esm;NPC_;003367;DLC1Ronthil;Ronthil;Wood Elf;1.000000,0,0;Archery, Light Armor, Pickpocket;Auto-calc stats, Unique, PC Level Mult, Bleedout Override;
Dawnguard.esm;NPC_;003368;DLC1Stalf;Stalf;Nord;1.000000,0,0;Two Handed, One Handed, Block;Essential, Auto-calc stats, Unique, PC Level Mult, Bleedout Override;
Dawnguard.esm;NPC_;003369;DLC1SaloniaCaelia;Salonia Caelia;Imperial;1.000000,10,0;Sneak, One Handed, Light Armor;Female, Essential, Auto-calc stats, Unique, PC Level Mult, Bleedout Override;
Dawnguard.esm;NPC_;00336A;DLC1Isran;Isran;Redguard;1.100000,15,0;Smithing, Speechcraft, One Handed;Essential, Auto-calc stats, Unique, PC Level Mult, Bleedout Override, looped script?, looped audio?;
Dawnguard.esm;NPC_;00336B;DLC1SorineJurard;Sorine Jurard;Breton;1.000000,10,30;Archery, Speechcraft, Light Armor;Female, Essential, Auto-calc stats, Unique, PC Level Mult, Bleedout Override;
Dawnguard.esm;NPC_;00336C;DLC1Gunmar;Gunmar;Nord;1.100000,15,0;Smithing, Speechcraft, One Handed;Essential, Auto-calc stats, Unique, PC Level Mult, Bleedout Override;
Dawnguard.esm;NPC_;00336D;DLC1FlorentiusBaenius;Florentius Baenius;Imperial;1.000000,10,30;Restoration, Enchanting, Speechcraft;Essential, Auto-calc stats, Unique, PC Level Mult, Bleedout Override;
Dawnguard.esm;NPC_;00336E;DLC1Agmaer;Agmaer;Nord;1.000000,5,25;Two Handed, One Handed, Block;Auto-calc stats, Unique, PC Level Mult, Bleedout Override, looped script?, looped audio?;
Dawnguard.esm;NPC_;00336F;DLC1EncHunterTemplate;Vampire Hunter;Nord;1.000000,5,25;Two Handed, One Handed, Block;Respawn, Auto-calc stats, PC Level Mult, Bleedout Override, looped script?, looped audio?;
Dawnguard.esm;NPC_;003370;DLC1EncHunterTemplateMagic;;Nord;1.000000,0,25;Two Handed, One Handed, Block;Respawn, Auto-calc stats, PC Level Mult, Bleedout Override, looped script?, looped audio?;
Dawnguard.esm;NPC_;003371;DLC1EncHunterTemplateMissile;;Nord;1.000000,0,25;Two Handed, One Handed, Block;Respawn, Auto-calc stats, PC Level Mult, Bleedout Override, looped script?, looped audio?;
Dawnguard.esm;NPC_;003372;DLC1EncVampireTemplateMagic;;Nord;1.000000,0,0;Two Handed, One Handed, Block;Respawn, Auto-calc stats, PC Level Mult, Bleedout Override, looped script?, looped audio?;
Dawnguard.esm;NPC_;003373;DLC1EncVampireTemplate;Vampire Court Member;Nord;1.000000,0,0;Two Handed, One Handed, Block;Respawn, Auto-calc stats, PC Level Mult, Bleedout Override, looped script?, looped audio?;
